$100-a-plate dinner	tuluõhtu, heategevuslik bankett
bleeding	veritsev ; veritsus, aadrilaskmine ; neetud
bleeding disease	veritsustõbi, hemofiilia
bleeding heart	murtudsüda (Dicentra), ülikaastundlikkus
bleed to death	verest tühjaks jooksma
bleed white	kõike välja pressima, verest tühjaks imema
bleep	piip, piipar ; piipitama
bleeper	piipar
bleeping	piiksumine, piipitamine
bleep out	piipiga varjama (ebatsensuurset sõna saates)
blemish	plekk, iluviga ; rikkuma, kahjustama
blemished	iluveaga, vigane, mittetäiuslik
blemishing	rikkuv, kahjustav
blench	ehmatusega tagasi põrkama, kahvatama
blend	segu ; segama, segunema, ühte sulama
blended	segatud, tembitud
blended whiskey	segatud viski (viskisegu eri sortidest)
blender	kannmikser, mikser
blending	segamine, sujuv üleminek
blend into	segunema, ühte sulama
blend in with	kokku sulanduma, harmoneeruma
blends	segud
blend-word	sulandsõna (smog = smoke+fog, sudu = suits+udu)
blennophobia	limakartus
bless	õnnistama
blessed	õnnis, õnnistatud, neetud
blessed event	sünnitus, lapse sünd
blessedness	õndsus
blessed sacrament	püha sakrament
Blessed Sacrament	püha sakrament
Blessed Trinity	püha kolmainsus
Blessed Virgin	püha neitsi
blessed with	õnnistatud (ande, tervise vms)
blessed with luck	õnnesärgis sündinud
blessing	õnnistus, arm, tänupalve
bless my heart	helde taevas, jumal hoidku
blest	õnnistatud
blether	loba ; vatrama, möla ajama
bleu	hallitusjuust
bleu cheese dressing	hallitusjuustukaste
blew	puhus
blight	lehemädanik, leherooste, hävitav mõju ; nurjama
blighted	allakäinud, kärbunud
blighted hope	nurjunud lootus
blighter	vennike, tüütu tüüp
blighting glance	hävitav pilk
blighty	puhkus (sõjaväest), haavatasaamine (kojusaatmisega)
Blighty	Inglismaa (välismaal teenivate sõdurite pruugis)
blimey	pagan võtaks, oh pagan (<God blind me)
blimp	väiksem lennuaparaat
Blimp	ennasttäis vanameelne sõjaväeohvitser
blimpish	ennasttäis ultrakonservatiiv
blind	pime ; kattevari ; pimedaks tegema, pimestama
blind alley	umbtänav
blind-alley	umbtänav
blind as a bat	lühinägelik
blind as a mole	täiesti pime
blind date	pimekohtamine
blind drunk	umbjoobes
blinded	pimestatud, pimedaks tehtud
blindedly	pimestatult
blinder	silmaklapp
blinders	silmaklapid
blind faith	pime usk
blind flight	pimelend
blind flying	pimelend
blindfold	silmi kinni siduma ; silmaside ; pime-
blindfold chess	pimemale
blindfolded	seotud silmadega
blind guess	umbropsu oletus
blind gut	pimesool
blind impulse	hetkeaje
blinding	pimestav
blindingly	pimestavalt
blind landing	pimemaandumine
Blind Leading the Blind, The	pime juhib pimedat
blindly	pimesi, umbropsu
blind man	pime, postisorteerija
blind man's buff	pimesikk
blind-man's-buff	pimesikk
blindman's buff	pimesikk
blindness	pimedus, sõgedus
blind pig	salakõrts
blind rage	pime viha
blinds	katted, eesriided, ruloo
blind side	pime külg, nõrkus
blind spot	pimetähn, nõrk külg
blind the eyes	silmi kinni siduma
blind tiger	salakõrts
blind to	pime, mõistmatu, mõistmisvõimetu
blind trust	pime usaldus
blindworm	vaskuss
blind-worm	vaskuss
bling	< bling-bling
bling-bling	edevalt uhke, kalliskividega ehitud ; eputama
blini	pannkook
blink	silmi pilgutama, plinkima ; silmapilgutus
blink at	silmi kinni pigistama (millegi suhtes)
blink away	silmi pilgutades tagasi hoidma (pisaraid)
blinker	suunatuli, vilkur, silmaklapp
blinker lamp	vilkur
blinker light	suunatuli
blinkers	silmaklapid, suunatuled
blinking	vilkuv ; silmapilgutamine ; pagana
blinking light	suunatuli
blink of an eye	silmapilguga, silmapilkselt
blintz	täidisega pannkook
blintze	täidisega pannkook
bliny	pannkook
blip	vilgatus, piuks, peegeldunud radarisignaal ; laksama
blipping	piiks (helisalvestises vandesõna asemel)
bliss	õndsus, joovastus
blissful	õnnis
blissfully	õndsalt
blissfulness	õndsus
blister	vill, rakk ; villi hõõruma, hävitavalt kritiseerima
blistered	villis
blistering	välkkiire, söövitav, kõrvetav
blister pack	mullpakend
blisters	villid, rakud, vesivillid
blite	muretu
blithe	üliõnnelik
blithehearted	kerge südamega
blithely	muretult, rõõmsalt
blitheness	joviaalsus, muretustunne
blither	lollusi suust välja ajama
blithering	tobeda jutuga
blithering idiot	jobu
blithesome	muretu, kerge südamega
BLitt	kirjandusteaduse bakalaureus
blitz	äkkrünnak, välksõda ; ette hoiatamata ründama
blitz chess	välkmale
blitzed	(Am) maani täis
blitzkrieg	blitzkrieg, välksõda
blitzkrieg tactics	välksõja taktika
blizzard	lumetorm
bloat	punduma, tursuma
bloated	täispuhutud, pundunud, tursunud
bloater	suitsuheeringas
bloat herring	suitsuheeringas
blob	laik ; plekki tegema
bloc	blokk
block	plokk, klots, kvartal ; blokeerima, tõkestama
blockade	blokaad ; blokeerima
blockaded	blokeeritud, blokaadi all
blockader	blokeerija
blockade-runner	blokaadist läbimurdja (laev)
blockaderunning	blokaadist läbimurdmine
blockading	blokeeriv
blockage	ummistus, blokeerimine
block and tackle	plokktõstuk
blockbuster	suure purustusjõuga pomm, ülimenukas film
Blockbuster	Blockbuster (videolaenutusfirma)
blockbusting	suure purustusjõuga, ülimenukas
block capital	suurtäht, käsitsi kirjutatud täht
block diagram	plokkskeem
blocked	suletud, kinni, tõkestatud, läbipääsmatu
blocker	kaitsja (vastase kaitsjate tõkestaja)
block flute	plokkflööt
block grant	riigi rahaeraldised kohalikku eelarvesse
blockhead	puupea
blockheaded	puupäine
blockhouse	kindlustatud laskeavadega ehitis
block in	visandama, (väljasõitu sulgedes) ette parkima
blocking	tõkestamine, blokeerimine
blockish	tahukakujuline
block letter	(seriifideta) suurtäht
block off	juurdepääsu tõkestama
block of flats	paneelmaja, mitmekorruseline maja
block out	varjestama, üldjoontes visandama
block the light	valguse ees olema
block up	sulustama, läbipääsu tõkestama
blocky	tahukakujuline
blog	ajaveeb (= weblog), blogi, temaatiline mõttevahetus
blogger	veebikolumnist, blogija
bloke	vana veidrik
blond	blond
blonde	blondiin ; blond
blondes	blondiinid
blood	veri, järglased, temperament ; verega kastma
blood-and-guts	ülestunnistus viimse üksikasjani
blood-and-thunder	märuli-, vägivalla-
blood bank	verepank
bloodbath	veresaun
blood bath	veresaun
blood bond	vereside
blood bread	verileib
blood brother	verevend, lihane vend
blood brotherhood	verevendlus
blood cell	verelible (erütrotsüüt või leukotsüüt)
blood circulation	vereringe, veriringlus
blood clot	vereklomp
blood-colored	verekarva, verev
blood corpuscle	vereosake (erütrotsüüt või leukotsüüt)
blood count	vereanalüüs
bloodcurdling	verd tarretama panev
bloodcurdlingly	verdtarretavalt
blood donor	veredoonor
blood-drenched	verest läbi imbunud
blooded	puhtavereline
-blooded	-vereline (põlvnevus, sinivereline vms)
blood feud	veritasu
blood-filled	verdsisaldav, verega täitunud
blood group	veregrupp
blood grouping	veregrupi määramine
bloodguilt	veresüü
blood guilt	veresüü
bloodguilty	veresüü lasuma
blood heat	kehatemperatuur
blood-heat	kehatemperatuur
bloodhound	verekoer, hagijas
bloodhounds	verekoerad
bloodied	veristatud, verele löödud
bloodily	veriselt
blood kinship	veresugulus
bloodless	veretu, verevaene, kiretu
bloodlessly	veretult
bloodless operation	veretu operatsioon
bloodless revolution	veretu revolutsioon
Bloodless Revolution	-, James II vastane riigipööre Inglismaal 1688
bloodletting	verevalamine, aadrilaskmine
blood-letting	verevalamine, aadrilaskmine
bloodlettings	verevalamised
bloodline	pärilikkusliin, järeltulijad
bloodlust	verejanulisus
blood lust	verejanulisus
bloodlusting	verejanu
blood-mixed dumpling	verikäkk
bloodmobile	doonoribuss
blood money	toetus tapetu perele, palgamõrvari tasu
blood orange	veriapelsin
blood pancake	veripannkook
blood plasma	vereplasma
blood platelet	vereliistak, trombotsüüt
blood poisoning	veremürgitus
blood pressure	vererõhk
blood pudding	verivorst
bloodred	veripunane
blood red	veripunane
blood-red	veripunane
blood relation	veresugulus
blood-relation	veresugulus
blood relationship	veresugulus
blood relative	veresugulane
blood sacrifice	vereohver
blood sausage	verivorst
blood serum	vereseerum
bloodshed	veretöö, verepulm
bloodshot	verdunud, verd täis valgunud
blood-shot	verdunud
bloodshotten	verdunud
blood-shotten	verdunud
blood sister	lihane õde
bloodspilling	verevalamine
blood sport	verine sport (härjavõitlus, jaht vm)
blood spot	verepritse
bloodstain	vereplekk
bloodstained	vereplekkides, verine
blood-stirring	verd liikuma panev, erutav
bloodstock	puhastverd hobused
bloodstream	vereringe
blood stream	vereringe
bloodsucker	vereimeja, kaan
blood-sucker	vereimeja, kaan
bloodsucking	verdimev, kurnajalik
blood sugar	veresuhkur
blood test	vereanalüüs
bloodthirst	verejanu
bloodthirstily	verejanuliselt
bloodthirstiness	verejanu
bloodthirsty	verejanuline
blood ties	veresidemed
blood transfusion	vereülekanne
blood type	veregrupp
blood typing	veregrupi määramine
blood vengeance	veritasu
blood vessel	veresoon
blood-vessel	veresoon
bloody	verine ; neetud, neetult ; verega määrima
bloody mary	verine Mary (viin tomatimahlaga)
Bloody Mary	verine Mary (viin tomatimahlaga)
bloody-minded	põikpäine, tõrges, verejanuline
bloody-mindedness	põikpäisus
bloody shame	veretu Mery (tomatimahl ilma alkoholita)
bloom	õitseng, õitsemine, õis, põsepuna ; õilmitsema
bloom-colored	õhetav
bloomer	prohmakas
bloomers	naiste aluspüksid
Bloomfieldian	Bloomfieldi
blooming	õitsev, õieehtes, õhetav, nooruslik ; õitsemine
bloomless	õitetu
bloomy	õieehtes, lilledega kaetud
blooper	prohmakas, näpukas
blossom	õis, õitseaeg ; õide puhkema, õitsema, kasvama
blossoming	õitsev
blot	plekk ; plekki tegema, kuivatuspaberiga kuivatama
blotch	laik, plekk (korrapäratu kujuga) ; täpitama
blotched	laiguline
blotchy	laiguline, plekiline
blot in your escutcheon	häbiplekk, hea nime määrija
blot in your scutcheon	häbiplekk, hea nime määrija
blot on your escutcheon	häbiplekk, hea nime määrija
blot on your scutcheon	häbiplekk, hea nime määrija
blot out	varjama, varju jätma, katma, maha nühkima
blot out your sins	patte maha pesema
blots	plekid, laigud
blotter	kuivatuspaber, politseižurnaal, kaustik
blotting book	märkmik
blotting out	kustutamine, maha nühkimine
blotting paper	kuivatuspaber
blotto	jokkis, purjus
blouse	pluus (naiste)
bloviate	(Am) ülespuhutud ilukõnet pidama, vahutama
bloviation	sõnavaht
bloviator	lobasuu, kehkenpüks
blow	puhuma, laiaks lööma ; löök, hoop, puhang
blow a fuse	(kaitse) läbi põlema, enesevalitsust kaotama
blow a gasket	endast välja minema
blow a horn	signaali andma (auto, laev), pasunat puhuma
blow a kiss	õhusuudlust saatma
blow a safe	seifi lõhkeaine abil röövima
blow a vessel	(kellelgi) veresoon lõhkema, seaks vihastama
blowback	tagasilöök (tulirelva)
blow-by-blow	üksikasjalik
blowdown	tuulemurd
blow down	ümber paiskama (torm)
blow-dry	fööniga kuivatama
blower	puhur, ventilaator, kompressor
blowflies	porikärbsed
blowfly	porikärbes
blow-fly	porikärbes
blow gas	heitgaas (summutist)
blow great guns	maruliselt puhuma
blowgun	puhkpüss
blowhard	lakkamatu lobiseja
blowhole	õhuauk
blow hot and cold	ebajärjekindel olema
blow in	sisse sadama (ilmuma), raha laiaks lööma
blowing engine	mootorpuhur
blowing machine	puhur
blowing up	peapesu, karistus
blow it	pagan võtaks
blowjob	suuseks
blow job	suuseks
blowlamp	leeklamp
blown	puhutud, hingeldav
blown up	täispuhutud, paisutatud, suurendatud
blown-up	täispuhutud, paisutatud, suurendatud
blow off	plahvatama, õhku laskma, ära puhuma
blow-out	läbipõlemine, kummi lõhkemine
blowout	läbipõlemine, kummi lõhkemine, gay-pidu, lüüasaamine
blow out	läbi põlema, ära puhuma (leeki), lõhkema
blow out of the water	jalust rabama, üllatama
blow over	vaibuma, mööduma
blowpipe	õhutoru, puhkpüss
blow-pipe	õhutoru, puhkpüss
blow sky-high	vastu taevast laskma
blow the coals	vaenu õhutama
blow the horn	tuututama, signaali andma (auto, laev)
blow the lid off	päevavalgele tooma
blow to pieces	õhku laskma
blowtorch	leeklamp
blowtube	õhutoru, puhkpüss
blow tube	õhutoru, puhkpüss
blowup	suurendus (foto vm), kärgatus
blow up	plahvatama, paisuma, täis puhuma, suurendama
blow-up	plahvatus, vihasööst, suurendus
blowy	tuuline
blow your brains out	kuuli pähe kihutama, end maha laskma
blow your cover	end paljastama
blow your nose	nina nuuskama
blow your stack	marru minema, maruvihaseks saama
blow your top	marru minema, maruvihaseks saama
BLT	võileib peekoni, lehtkapsa ja tomativiiludega
blubber	traan, rasvakiht ; nuutsuma, töinama ; lotendav
blubber-cheeked	täissöönud näoga, punnpõskne
blubbery	täissöönud, punnis
bludge	(Aus) viilima, kõrvale hoidma, raha nuruma
bludgeon	kaigas, nui ; kaikaga äsama, sundima
blue	sinine, nukrameelne, ropp, aadellik ; sina
Blue	sinine (põhjaosariiklane)
blue air	taevalaotus
blue angel	-, valuvaigisti ja unerohi
bluebeard	sinihabe, naistetapja
Bluebeard	Sinihabe
blueberries	mustikad
blueberry	mustikas
blue black	sinakasmust
blue-black	sinakasmust
blue-blind	värvipime (võimetu eristama sinist ja kollast)
blue blindness	värvipimedus
blueblood	siniveri (aristokraat, aadlik)
blue blood	siniveri (aristokraat, aadlik)
blue-blooded	sinivereline
blue book	matrikkel, sinine raamat
bluebottle	porikärbes
bluebottle fly	porikärbes
bluebutton	äiatar (Knautia arvensis)
blue-cheeked bee-eater	rohe-mesilasenäpp (Merops superciliosus)
blue cheese	sinihallitusjuust
blue chip	tuntud firma aktsia, sinine pokkerižetoon
blue-chip	tuntud firma aktsia, sinine pokkerižetoon
blue chip stock	usaldusväärne kuid vähetootlik aktsiapakk
blue clay	sinisavi
blue-collar	sinikraeline (lihttööd tegev)
blue-collar worker	sinikrae
blue devils	deliirium, meeleheitehoog
blue-eyed	sinisilmne (siniste silmadega), lemmik
blue-eyed boy	paipoiss, lemmik
bluefish	sinikala (Pomatomus saltatrix), (iga) sinine kala
blue fox	sinirebane
blue funk	masendusseisund, kabuhirm
Bluegrass State	Kentucky
blueing	pesusine, sinetamine
blueish	sinakas
bluejack	sinine vitriol
bluejacket	mereväelane
blue jay	siniharakas (Cyanocitta cristata)
blue jeans	teksased, teksaspüksid
blue joke	kahemõtteline nali
blue law	pühapäeviti töötamist reguleeriv seadus
blue lobelia	sinilobeelia
blue Monday	sinine esmaspäev
blue moon	pikk ajavahemik, teab kunas
blueness	sina
Blue Nile	Sinine Niilus
bluenose	Nova Scotia asukas, puritaan
Blue Note	Blue Note (Records) (džässi ja souli plaadifirma)
blue-pencil	redigeerima
blue-penciled	redigeeritud
blue peter	sinine Peeter (lipp, näitab mereleminekuvalmidust)
blueprint	joonis, plaan, koopia
blueprint paper	kopeerpaber
Blue Ribband	(Atlandi) «Sinine lint»
blue ribbon	sinine pael (autasu)
blue-ribbon	eri-, valitud (oskuste, teadmiste vm alusel)
blue-ribbon jury	-, eriteadmistega kohtunike kogu
blues	bluus, nukrameelsus, rõhutus
blue shark	sinihai
blue shift	sininihe
blue stellar object	sinine taevakeha (kõik mittetähed)
bluestocking	sinisukk (kirjandushuviga naine)
blue-stocking	sinisukk
blue story	kahemõtteline nali, nilbe lugu
blue streak	tulejutt, sõnavada
bluetail	sinisaba (Tarsiger)
bluethroat	sinirind (Luscinia svecica)
blue tit	sinitihane (Parus caeruleus)
blue-tongued lizard	hiidsisalik
blue whale	sinivaal
blue-winged teal	sini-rägapart (Anas discors)
bluey	(Aus) rännupamp, punapea
bluff	bluffima ; bluff, rannajärsak ; otsekohene
bluffer	bluffija, hoopleja
bluffly	otsekoheselt
bluffness	heatahtlik otsekohesus
bluff out	üle bluffima (pokkeris)
bluing	sine, sinetamine
bluish	sinakas
bluish-green	sinakasroheline
blunder	rumal eksitus, prohmakas ; eksima, komistama
blunderbuss	(otsast laienev) musket, koperdis ; mööda laskma
blunderbussier	sihitult sahmerdama, musketikandja
blunderer	vusserdaja, kobakäpp
blundering	vusserdus
blunder into	sisse sattuma, peale komistama
blunder on	komistama, vastu põrkama
blunt	nüri, tömp, ilustamata, pläru ; nürima, nüristama
blunted	nüristatud, nüritud
bluntly	otsekoheselt, ilustamata
bluntness	nüridus, otsekohesus, avameelsus
blunt-pointed	tömbi otsaga
blunt-spoken	otsekohene
blunt-tip	tömbi otsaga
blunt-witted	nürimeelne
blur	hägustama, laiali määrima ; laialivalguv pilt
blurb	reklaamtutvustus (kaaneümbrisel), väljaandja nimi
blurred	hägus, ebaselge, laialivalguv (kuju ja mõiste)
blurry	hägus, ebaselge, laialivalguv (kujutis)
blurt	pahvama, pahvatama ; sõnapahvak
blurt out	välja pahvatama (saladust vm)
blush	punastama ; punastus, puna
blusher	rüüž
blushful	punetav, punastav
blushing	punastav, õhetav
blushingly	punastades
bluster	hooplemine, kära, iil ; kelkima, tormlema
blusterer	taktitu lobiseja
blustering	tormlev, iililine
blusterous	tormlev, iililine
blustery	iililine, kärarikas, agressiivne
Blyth's reed warbler	aed-roolind (Acrocephalus dumetorum)
bm	ennast tühjendama (eufemism, =roojama)
BM	väljaheited (eufemism)
BMus	muusikateaduse bakalaureusekraad
bo	vennas
boa	boa
boanthropy	enda härjaks pidamine
boar	kult, metskult
board	laud, paneel, plaat, juhatus, kost ; pardale astuma
board a plane	lennukisse minema
board chairman	juhatuse eesistuja
boarder	kostiline, internaatkooli õpilane, pardaleasuja
board fence	piirdeaed
board foot	ruutjalg (tahvel külgedega 1 jalg ja paksusega 1")
board game	lauamäng
boarding	pardaleastumine, parda-, tahveldus, laudis, kost
boardinghouse	pansion, kostimaja
boarding house	pansion, kostimaja
boarding-out system	piletite broneerimise süsteem
boarding pass	pardapääse
boarding school	internaatkool
board lot	täispartii, lot
board meeting	juhatuse koosolek
board of directors	direktorite nõukogu
Board of Governors	kuratoorium
Board of Trade unit	kilovatt-tund
boardroom	nõupidamissaal
board school	internaatkool
board up	tahveldama, laudadega katma
boardwalk	laudtee
boar hunt	metsseajaht
boast	uhkustama, hooplema, ärplema ; hooplemine
boaster	hoopleja, uhkustaja
boastful	kelkiv, uhkeldav
boastfully	hooplevalt
boastfulness	hooplevus
boasting	hooplemine, uhkustamine
boat	paat, laev, lootsik, kastmekann
boatable	paadiga läbitav, paadiga ületatav
boat bridge	ujuvsild
boatbuilder	paadimeister
boatbuilding	paadiehitus
boat club	sõudeklubi
boater	sõudja, paadisõitja, lame õlgmüts
boat gripe	gruntou
boat harbour	paadisadam
boat hire	paadilaenutus
boat hoist	paadivinn
boathook	pootshaak
boat hook	pootshaak
boathouse	paadimaja
boathouses	paadikuurid
boating	paadisõit
boation	möiratus
boatload	paaditäis
boatman	paadimees, laevnik
boatmanship	paadisõiduoskus
boat race	sõudevõistlus
boat-race	sõudevõistlus
boat rope	pest
boats	paadid, laevad
boatsteerer	tüürimees
boatswain	pootsman
boatswain's chair	pootsmanitool
boatswain's pipe	pootsmani vile
boat tackle	paaditali
boat train	praamrong
bob	noogutus, ujuk, siilipea ; hüplema, kniksu tegema
Bob	Bob (= Robert)
bob a curtsy	kniksu tegema
bobber	ujuk, kork
bobbin	pool, kerimisrull
bobble	segi paiskama
bobble hat	tuttmüts
Bobbsey Twins	kaksikud, äravahetamiseni sarnased
bobby	(Br) võmm (politseinik)
Bobby	Bobby (= Robert)
bobby pin	juukseklamber
bobby-socker	teismeline tüdruk
bobbysocks	lühikesed sokid
bobby-sox	põlvikud
bobbysoxer	teismeline tüdruk
bobby soxer	teismeline tüdruk
bobby-soxer	teismeline tüdruk
bobcat	(Am) ilves, punailves (Lynx rufus)
bobfloat	õngekork
bobsled	bobikelk ; bobikelguga sõitma
bob-sled	bobikelk
bobsleigh	bobikelk
bobstay	vaatertaak, veetaak
bobtail	tömpsaba, pügatud saba, lühike saba
bob up	kerkima, tõusma, välja vupsama
Boche	-, saksa päritolu
bock	bock (tume kange õlu)
bock beer	bockbeer (tume kange õlu)
bod	inimkeha
BOD	biokeemiline hapnikuvajadus
bodacious	muljet avaldav, julge, tohutu
bodaciously	muljet avaldavalt, julgelt
bodacity	märkimisväärsus, üüratus
bode	endeks olema, kuulutama
bodega	bodega (veinipood)
bodewash	kuivatatud pühvlisõnnik (er lõkkematerjalina)
bodice	pihik
bodice ripper	naisteromaan vägistamisstseenidega
bodiless	kehatu
bodily	kehaline, füüsiline, keha- ; kehaliselt
bodily harm	kehaline vigastus
bodily love	füüsiline armastus
bodily pleasure	kehaline nauding
bodily structure	kehaehitus
boding	ettekuulutus, halb eelaimdus
bodkin	kübaranõel, juuksenõel, naaskel
body	keha, kere, ihu, põhiosa, tervik, asutus
body and blood of Christ	Kristuse ihu ja veri
body armor	kehaturvis
body bag	laibakott
body-build	kehaehitus
bodybuilder	kulturist, atleetvõimleja
body-building	atleetvõimlemine
bodybuilding	kulturism, atleetvõimlemine
body building	kulturism, atleetvõimlemine
body cavity	kehaõõnsus
body colour	kattevärv
body count	hukkunute arv
body covering	kehakate
body fluid	kehamahl
bodyguard	ihukaitsja, ihukaitse
body-guard	ihukaitsja
bodyguards	ihukaitsjad
body language	kehakeel
bodyless	kehatu
body odor	kehalõhn (pesematusest)
body of evidence	tõendusmaterjal
body of water	veekogu, Maad kattev vesi
body of work	kogutud teosed
bodypaint	kehamaalingut tegema
body part	kehaosa
body politic	riiklik ühiskond
body posture	kehahoiak
body servant	ihuteener
body shop	autoremonditöökoda
body temperature	kehatemperatuur
body type	kehaehitus
body waste	väljaheited
bodyweight	kehakaal
body weight	kehakaal
bodywork	kere (mootorsõiduki)
Boeotia	Boiootia
boeotian	matslik, igav
Boeotian	mühakas ; igav
boer	buur
Boer	buur
boers	buurid
Boer War	buuri sõda
boeuf	veiseliha
boffin	(Br) tehnoloogiaekspert, sõjandustehnikateadlane
boffo	edu, südamest tulev naer, vaimukus ; ülimenukas
bog	raba ; rappa minema, jänni jääma
bogart	jõhkrutsema, endale ahnitsema
Bogart	Bogart
bog arum	soovõhk, kalla
bog bilberry	sinikas (Vaccinium uliginosum)
bog blueberry	sinikas (Vaccinium uliginosum)
bog down	rappa minema, jänni jääma, takerduma
bog earth	rabamaa
bogey	kuri vaim, koll, ühe enamlöögiga tulemus (golf)
Bogey	Humphrey Bogart
bogeyman	koll (laste hirmutamiseks)
bogey man	koll
bogeymen	kollid
boggle	keeletuks jääma, hämmastuma, kõhklema, ehmuma
boggle at	(millegi) ees tagasi kohkuma
boggledy-botch	tohuvabohu
boggy	rabane, soine
bogie	kuri vaim, vaenlase lennuk, vagonett
bog in	takerduma
bog iron	soomaak, käsnaraud
Bogomil	bogomiil
bog orchid	sookäpp (Malaxis)
bog ore	soomaagi leiukoht
bog peat	rabaturvas
bog plant	rabataim
bog pool	laugas
bogs	rabad
bogus	võlts, järeletehtud
bogy	koll, kuri vaim
Bohemia	Böömimaa
Bohemia-Moravia	Böömi-Määrimaa
bohemian	boheemlik, boheemlaslik ; boheemlane
Bohemian	böömi ; böömlane, boheemlane
Bohemian Forest	Tšehhi mets
bohemianism	boheemlus
Bohemianism	boheemlus
Bohemian waxwing	siidisaba (Bombycilla garrulus), viristaja
bohrium	bohrium (Bh)
boil	keetma, keema, ärritunud olema ; keemistemperatuur
boil away	ära keema, auruks keema
boil down	taanduma, kokkuvõttes olema, aurutades keetma
boiled	keedetud
boiled dinner	hautatud liha juurviljadega
boiled egg	keedetud muna
boiled potatoes	keedukartulid
boiler	boiler, (auru)katel, kiirkeedupott
boiler cleaner	katlapuhastaja
boilerhouse	katlamaja
boilermaker	katelsepp
boilerman	katlakütja
boilerplate	standardsõnastus (uudiste, dokumentide vm)
boiler plate	trükiplaat (suurema lehe valmisküljed)
boiler room	katlaruum
boilersmith	katelsepp
boiler suit	töökittel, tunked
boiler tube	katlatoru
boiling	keev, ärritunud ; ülimalt ; keetmine
boiling hot	tulikuum
boiling point	keemistemperatuur, keemispunkt
boiling spring	keevaveeallikas
boil over	üle keema, ägestuma
boil the pot	elatist teenima
boil up	keema minema
boisterous	tormakas, rahutu, mäslev, lärmakas
boisterously	ägedalt, kõvahäälselt
boistousness	mäslemine, tormakus, ägedus
bok choy	hiina kapsas (Brassica rapa chinensis)
Bokmal	bokmål (Norra kirjakeel)
bola	bola (nöör kividega otstes, viskerelv)
bold	kartmatu, südi, enesekindel, selge, (IT) paks, järsk
bold as brass	jultunud, äärmiselt häbematu
boldface	poolpaks kiri ; poolpaksu kirja kasutama
boldfaced	vapper, hulljulge
bold-faced	vapper, hulljulge
bold front	vapper ilme
boldly	vapralt, julgelt
boldness	julgus, jultumus, rõhutatus
bole	tüvi (puu)
bolero	boolero (tants, muusika ja pintsak)
boletus	puravik
Boletus	puravik
bolide	boliid (heledalt põlev ja plahvatav meteoor)
bolivar	boliivar (Venezuela rahaühik)
bolivia	boliivia (kaardimäng, kanasta vorm)
Bolivia	Boliivia
Bolivian	boliivia ; boliivlane
boliviano	boliviano (Boliivia rahaühik)
boll	puuvillataime seemnevili
bollard	pollar, piirdetulp, teetähis
bollix	segi paiskama
bollixed up	segi paisatud
bollix up	segi paiskama
bollock	munand
bollocks	segi paiskama
Bollywood	Bollywood (India filmitööstus)
bolo	pikateraline filipiini nuga ; ehispael
bologna	Bologna vorst, suitsuvorst
Bologna sausage	Bologna vorst, suitsuvorst
bolograph	bolograaf
bolographic	bolograafiline
bolography	bolograafia
bolometer	bolomeeter (soojuskiirguse mõõtur)
bolshevik	bolševistlik
Bolshevik	bolševistlik ; bolševik, radikaal
Bolsheviki	bolševikud
Bolsheviks	bolševikud
bolshevism	bolševism
Bolshevist	bolševistlik
Bolshevistic	bolševistlik
bolshevize	bolševiseerida
bolshy	lärmakas, jonnakas
bolster	polster, padjand ; toetama, polsterdama, padjandama
bolster up	toetama, toestama, ülal hoidma
bolt	polt, riiv, sööst, rull, välk ; sööstma, kugistama
bolt-action	käsilukuga
bolt down	kugistama, sisse ahmima
bolt from the blue	välk selgest taevast
bolthole	urusuu, peidupaik
bolt hole	urusuu, peidupaik
bolt-hole	urusuu, peidupaik
bolt in	sisse tormama
bolting cloth	püülimisriie
bolt of lightning	välgunool, piksenool
bolt out	välja tormama
bolt out of the blue	välk selgest taevast
bolt rope	liiktross
bolt the door	ust riivistama
bolt upright	tikksirgelt
bolus	väike pehme kuulike, suur tablett
bomb	pomm ; pommitama, eksamil põruma
bombard	pommitama (pommide, küsimustega)
bombardier	pommiheitja, suurtükiväelane, bombard
bombardment	pommitamine (hajus)
bombast	ülespuhutus (kõne, teose), pompöösne esitlus
bombastic	ülespuhutud
bombastically	ülespuhutult, grandioosselt
Bombax	villapuu
Bombay	Bombay (India suurim linn)
bomb bay	pommisektsioon (lennukil)
bomb calorimeter	plahvatusenergia mõõteseade
bomb crater	pommilehter
bomb dog	pommikoer
bombed	pommitatud, purjus
bomber	pommitaja, pommituslennuk
bombilate	vilisema
bombinate	vilisema, ümisema, undama
bombination	vilin, vihin
bombing	pommirünnak, pommitamine
bomb ketch	pommituslaev
bomb out	pommirünnakuga kodutuks jätma
bomb plane	pommitaja, pommituslennuk
bombproof	pommikindel ; pommivarjend
bomb-proof	pommikindel ; pommivarjend
bomb scare	pommiähvardus
bombshell	pommuudis, nael, mürsk, mürsukest
bomb shelter	pommivarjend
bombsight	pommisihik
bomb site	pommitatud ala (linnas)
bomb-sniffing dog	pommikoer
bomb threat	pommiähvardus
bomb up	pomme peale laadima (lennukile)
Bombus	kimalane, kumalane
bomb vessel	pommituslaev
Bombycilla	siidisaba
Bombycillidae	siidisabalased
bombyx	siidiliblikas
bona	bona
bona fide	heauskne, autentne
bona-fide	heauskne, autentne
bona fide purchaser	heauskne ostja
bona fides	heausksus
bonanza	kullasoon, (ülek) aardeleid, edu
bon appetit	head isu
Bonasa	laanepüü
